FID,OBJECTID,timestamp,long,lat,accelerati,accelera1,accelera2,activity_c,comments,external_t,satellite_,speed,gsm_signal,height,import_mar,tag_voltag,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time,Veg,OBJECTID_1,NVCSName,NVCSLevel,MapClass,MapClassCo,Original_2,Original_1,Cov_2015,Dist_2015,Ht_2015,Notes_2015,ID_2015,Habitat,MgmtRegion,Lepidium,CalVegName,CalVegCode,CWHRType,CWHRCode,GlobalRank,StateRank,Rare,CaCode,NVCSAllian,NVCSGroup,NVCSMG,UID,Acres,Hectares,Shape_Leng,Shape_Area
21,399,2018-06-13 22:00:00,-121.940366,38.111033,0,0,0,0,SIMP02,41,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
22,403,2018-06-14 02:00:00,-121.939383,38.1102,0,0,0,0,SIMP02,28,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
23,458,2018-06-17 21:00:00,-121.939466,38.1113,0,0,0,0,SIMP02,27,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
24,464,2018-06-18 03:00:00,-121.939766,38.109933,0,0,0,0,SIMP02,20,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
25,472,2018-06-18 18:00:00,-121.941733,38.112166,0,0,0,0,SIMP02,26,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
26,475,2018-06-18 21:00:00,-121.941633,38.112083,0,0,0,0,SIMP02,28,0,0,0,0,0,4180,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
27,497,2018-06-20 02:00:00,-121.939383,38.1103,0,0,0,0,SIMP02,24,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
28,506,2018-06-20 18:00:00,-121.939949,38.109816,0,0,0,0,SIMP02,27,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
29,566,2018-06-25 13:00:00,-121.939149,38.1104,0,0,0,0,SIMP02,15,0,0,0,0,0,4080,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
30,622,2018-06-28 22:00:00,-121.940333,38.111283,0,0,0,0,SIMP02,37,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
31,664,2018-07-01 14:00:00,-121.939749,38.11,0,0,0,0,SIMP02,29,0,0,0,0,0,3960,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
32,667,2018-07-01 17:00:00,-121.939816,38.11,0,0,0,0,SIMP02,23,0,0,0,0,0,4110,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
33,672,2018-07-01 22:00:00,-121.939483,38.11075,0,0,0,0,SIMP02,32,0,0,0,0,0,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
34,673,2018-07-01 23:00:00,-121.939949,38.1116,0,0,0,0,SIMP02,30,0,0,0,0,0,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
35,676,2018-07-02 13:00:00,-121.939666,38.110183,0,0,0,0,SIMP02,14,0,0,0,0,0,4110,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
36,707,2018-07-04 03:00:00,-121.939649,38.110033,0,0,0,0,SIMP02,17,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
37,719,2018-07-04 22:00:00,-121.939933,38.110683,0,0,0,0,SIMP02,28,0,0,0,0,0,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
38,727,2018-07-05 13:00:00,-121.939433,38.110383,0,0,0,0,SIMP02,13,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
